Timestamp,Label,Light,Mic,PIR
2/27/2024 15:34,human - dark,8191,440,0
2/27/2024 15:34,human - dark,8191,432,0
2/27/2024 15:34,human - dark,8191,417,0
2/27/2024 15:34,human - dark,8191,433,0
2/27/2024 15:34,human - dark,8191,424,0
2/27/2024 15:34,human - dark,8191,385,0
2/27/2024 15:34,human - dark,8191,397,0
2/27/2024 15:34,human - dark,8191,380,0
2/27/2024 15:34,human - dark,8191,389,0
2/27/2024 15:35,human - dark,8191,392,0
2/27/2024 15:35,human - dark,8191,381,8191
2/27/2024 15:35,human - dark,8191,337,0
2/27/2024 15:35,human - dark,8191,321,0
2/27/2024 15:35,human - dark,8191,289,0
2/27/2024 15:35,human - dark,8191,304,0
2/27/2024 15:35,human - dark,8191,324,8191
2/27/2024 15:35,human - dark,8191,332,8191
2/27/2024 15:35,human - dark,8191,337,0
2/27/2024 15:35,human - dark,8191,341,0
2/27/2024 15:35,human - dark,8191,356,8191
2/27/2024 15:35,human - dark,8191,369,8191
2/27/2024 15:35,human - dark,8191,380,0
2/27/2024 15:35,human - dark,8191,384,0
2/27/2024 15:35,human - dark,8191,381,0
2/27/2024 15:35,human - dark,8191,381,0
2/27/2024 15:35,human - dark,8191,397,0
2/27/2024 15:35,human - dark,8191,396,0
2/27/2024 15:36,human - dark,8191,405,0
2/27/2024 15:36,human - dark,8191,400,0
2/27/2024 15:36,human - dark,8191,409,0
2/27/2024 15:36,human - dark,8191,369,0
2/27/2024 15:36,human - dark,8191,381,0
2/27/2024 15:36,human - dark,8191,365,0
2/27/2024 15:36,human - dark,8191,373,0
2/27/2024 15:36,human - dark,8191,392,0
2/27/2024 15:36,human - dark,8191,392,0
2/27/2024 15:36,human - dark,8191,397,0
2/27/2024 15:36,human - dark,8191,412,0
2/27/2024 15:36,human - dark,8191,405,0
2/27/2024 15:36,human - dark,8191,400,0
2/27/2024 15:36,human - dark,8191,376,0
2/27/2024 15:36,human - dark,8191,365,8191
2/27/2024 15:36,human - dark,8191,373,0
2/27/2024 15:36,human - dark,8191,377,0
2/27/2024 15:36,human - dark,8191,381,0
2/27/2024 15:36,human - dark,8191,396,0
2/27/2024 15:37,human - dark,8191,357,0
2/27/2024 15:37,human - dark,8191,368,0
2/27/2024 15:37,human - dark,8191,381,0
2/27/2024 15:37,human - dark,8191,381,0
2/27/2024 15:37,human - dark,8191,381,0
2/27/2024 15:37,human - dark,8191,381,0
2/27/2024 15:37,human - dark,8191,372,0
2/27/2024 15:37,human - dark,8191,381,0
2/27/2024 15:37,human - dark,8191,364,0
2/27/2024 15:37,human - dark,8191,381,0
2/27/2024 15:37,human - dark,8191,385,0
2/27/2024 15:37,human - dark,8191,321,0
2/27/2024 15:37,human - dark,8191,8191,8191
2/27/2024 15:37,human - dark,8191,7124,8191
2/27/2024 15:37,human - dark,8191,301,0
2/27/2024 15:37,human - dark,8191,317,8191
2/27/2024 15:37,human - dark,8191,312,0
2/27/2024 15:37,human - dark,8191,316,0
2/27/2024 15:34,human - dark,8191,440,0
2/27/2024 15:34,human - dark,8191,432,0
2/27/2024 15:34,human - dark,8191,417,0
2/27/2024 15:34,human - dark,8191,433,0
2/27/2024 15:34,human - dark,8191,424,0
2/27/2024 15:34,human - dark,8191,385,0
2/27/2024 15:34,human - dark,8191,397,0
2/27/2024 15:34,human - dark,8191,380,0
2/27/2024 15:34,human - dark,8191,389,0
2/27/2024 15:35,human - dark,8191,392,0
2/27/2024 15:35,human - dark,8191,381,8191
2/27/2024 15:35,human - dark,8191,337,0
2/27/2024 15:35,human - dark,8191,321,0
2/27/2024 15:35,human - dark,8191,289,0
2/27/2024 15:35,human - dark,8191,304,0
2/27/2024 15:35,human - dark,8191,324,8191
2/27/2024 15:35,human - dark,8191,332,8191
2/27/2024 15:35,human - dark,8191,337,0
2/27/2024 15:35,human - dark,8191,341,0
2/27/2024 15:35,human - dark,8191,356,8191
2/27/2024 15:35,human - dark,8191,369,8191
